Time,M5*8,M5*10,M5*12,M5*16,M6*8,M6*10,M6*12,M6*16,return,etc
2025/02/13/01/49,0,0,0,0,0,0,0,0,0,0
2025/02/13/02/00,0,0,0,0,0,0,0,0,0,0
2025/02/13/02/47,0,0,0,0,0,0,0,0,0,0
2025/02/13/04/04,0,0,0,0,0,0,0,0,0,0
2025/02/13/04/37,0,0,0,0,0,0,0,0,0,0
2025/02/13/04/54,0,0,0,0,0,0,0,0,0,0
2025/02/13/06/00,0,0,0,0,0,0,0,0,0,0
2025/02/13/06/05,0,0,0,0,0,0,0,0,0,0
2025/02/13/07/06,0,0,0,0,0,0,0,0,0,0
2025/02/13/07/21,0,0,0,0,0,0,0,0,0,0
2025/02/13/07/39,0,0,0,0,0,0,0,0,0,0
2025/02/13/08/07,0,0,0,0,0,0,0,0,0,0
2025/02/13/08/55,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/00,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/05,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/10,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/15,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/20,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/25,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/30,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/35,0,0,0,0,0,0,0,0,0,0
2025/02/13/09/40,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/05,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/10,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/15,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/20,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/25,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/30,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/35,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/40,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/45,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/50,0,0,0,0,0,0,0,0,0,0
2025/02/13/10/55,0,0,0,0,0,0,0,0,0,0
2025/02/13/11/00,0,0,0,0,0,0,0,0,0,0
2025/02/13/11/05,0,0,0,0,0,0,0,0,0,0
2025/02/13/11/10,0,0,0,0,0,0,0,0,0,0
2025/02/13/11/15,0,0,0,0,0,0,0,0,0,0
