Time,Thickness,length
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
2025/01/30/23/50,5,10
